,age,gender,angry,disgust,fear,happy,sad,surprise,neutral,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,music_name,artist_name,artist_genres
0,0,32,Man,92.75539517402648,0.001742502900015,1.5302582643926144,3.283614091742493e-05,5.704148858785629,3.522116642784568e-06,0.0084202772995922,0.286,0.703,4,-4.491,0,0.0348,0.00847,0,0.142,0.259,151.297,audio_features,7Hr1Ignop7cymbE3FbOtXa,spotify:track:7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/tracks/7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/audio-analysis/7Hr1Ignop7cymbE3FbOtXa,326813,4,So Far Away,Avenged Sevenfold,"['alternative metal', 'nu metal']"
1,1,27,Man,0.0251711099277725,0.0001466430804706,0.0105726051450676,96.78930025036932,1.2408545049044195,0.0001504075133717,1.9338096713310284,0.539,0.926,2,-6.495,1,0.0499,0.014,0,0.36,0.454,136.279,audio_features,1VuBmEauSZywQVtqbxNqka,spotify:track:1VuBmEauSZywQVtqbxNqka,https://api.spotify.com/v1/tracks/1VuBmEauSZywQVtqbxNqka,https://api.spotify.com/v1/audio-analysis/1VuBmEauSZywQVtqbxNqka,246400,4,Beautiful Day,U2,"['irish rock', 'permanent wave', 'rock']"
2,2,29,Man,45.82344864746622,0.0041124355170837,2.985844939103421,0.0005944214435257,46.02346396586084,0.0035017741806698,5.1590352600237885,0.508,0.471,0,-10.718,0,0.0385,0.783,0,0.25,0.117,81.995,audio_features,4NU4ZK3ncM05KPUc8JSuQ5,spotify:track:4NU4ZK3ncM05KPUc8JSuQ5,https://api.spotify.com/v1/tracks/4NU4ZK3ncM05KPUc8JSuQ5,https://api.spotify.com/v1/audio-analysis/4NU4ZK3ncM05KPUc8JSuQ5,131715,4,Circa 2015,Jaden,"['pop', 'rap']"
3,3,30,Man,66.15280508995056,0.0605071720201522,8.196913450956345,0.1078427187167108,16.896313428878784,2.6174308732151985,5.968189239501953,0.402,0.845,2,-6.459,1,0.0319,0.000676,0,0.158,0.686,174.727,audio_features,4yBiZFLXn0n9AUJ5sWO88k,spotify:track:4yBiZFLXn0n9AUJ5sWO88k,https://api.spotify.com/v1/tracks/4yBiZFLXn0n9AUJ5sWO88k,https://api.spotify.com/v1/audio-analysis/4yBiZFLXn0n9AUJ5sWO88k,258717,4,Wonderwall,Various Artists,[]
4,4,34,Man,1.9546867812053224,0.0011986794041938,1.221227314027868,0.0134786895008084,2.460684518130764e-05,96.809333943208,4.289525520801645e-05,0.286,0.703,4,-4.491,0,0.0348,0.00847,0,0.142,0.259,151.297,audio_features,7Hr1Ignop7cymbE3FbOtXa,spotify:track:7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/tracks/7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/audio-analysis/7Hr1Ignop7cymbE3FbOtXa,326813,4,So Far Away,Avenged Sevenfold,"['alternative metal', 'nu metal']"
5,5,30,Man,0.0028578373761934,1.8039370511854604e-05,6.370574966600541,89.5249200433588,0.0136763146723916,0.0066563850191726,4.081286375965312,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4,Better Now,Post Malone,"['dfw rap', 'melodic rap', 'rap']"
6,6,31,Man,0.2288183197379112,5.11739870034944e-05,48.175498843193054,0.0291143951471894,14.3731489777565,0.0415088870795443,37.1518611907959,0.292,0.0322,5,-25.073,1,0.0442,0.993,0,0.117,0.132,168.631,audio_features,2SlARTbg8VmWVF4cG7imB8,spotify:track:2SlARTbg8VmWVF4cG7imB8,https://api.spotify.com/v1/tracks/2SlARTbg8VmWVF4cG7imB8,https://api.spotify.com/v1/audio-analysis/2SlARTbg8VmWVF4cG7imB8,128331,3,Amalfi,Gente di Toscana,['background piano']
7,7,31,Man,14.02161055932108,0.0484717893201806,58.82982366262815,0.0383839994497373,15.53822550405416,8.193494867890767,3.329988022445918,0.612,0.807,10,-2.81,1,0.0336,0.0495,0,0.101,0.398,124.053,audio_features,2QjOHCTQ1Jl3zawyYOpxh6,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4,Sweater Weather,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']"
8,8,25,Man,20.41068971157074,0.0020221097656758,12.16246634721756,0.0083495877333916,61.418163776397705,0.0077437354775611,5.990566685795784,0.433,0.959,9,-4.04,1,0.0431,0.000917,0,0.028,0.365,172.984,audio_features,7x8dCjCr0x6x2lXKujYD34,spotify:track:7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/tracks/7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/audio-analysis/7x8dCjCr0x6x2lXKujYD34,269373,4,The Pretender,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
9,9,35,Man,0.0003290827345458,1.608494952743767e-09,4.68245984960902e-05,88.74536022488597,0.0046986440937513,0.1765220869284375,11.073045262461337,0.588,0.856,9,-5.242,0,0.0316,0.000818,0,0.238,0.635,96.966,audio_features,7v4ziK63yNqkfHh8S3ZSR3,spotify:track:7v4ziK63yNqkfHh8S3ZSR3,https://api.spotify.com/v1/tracks/7v4ziK63yNqkfHh8S3ZSR3,https://api.spotify.com/v1/audio-analysis/7v4ziK63yNqkfHh8S3ZSR3,175044,4,Shy Away,Twenty One Pilots,"['modern rock', 'rock']"
10,10,33,Man,1.0100377450838394,2.1862908181056302e-10,0.0923154067095629,3.73294310926729e-06,2.870681725957188,4.242891043418954e-06,96.0269515482245,0.784,0.0752,6,-13.934,0,0.142,0.928,0,0.105,0.476,81.97,audio_features,2qOe8xGW1mKROLBK0o4kuR,spotify:track:2qOe8xGW1mKROLBK0o4kuR,https://api.spotify.com/v1/tracks/2qOe8xGW1mKROLBK0o4kuR,https://api.spotify.com/v1/audio-analysis/2qOe8xGW1mKROLBK0o4kuR,110709,4,manuela,Nazaha,['chill beats']
11,11,31,Man,0.3613921348005533,7.116751703506452e-05,6.393986940383911,0.0179967217263765,89.90697860717773,0.0001245873818334,3.319445252418518,0.645,0.792,4,-7.34,0,0.036,0.0562,0,0.119,0.666,90.565,audio_features,7nnWIPM5hwE3DaUBkvOIpy,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/tracks/7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/audio-analysis/7nnWIPM5hwE3DaUBkvOIpy,232453,4,Drive,Incubus,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
12,12,30,Man,83.65505738914698,3.6977977091989854e-06,4.924338525454822,1.475589959598917e-05,11.291778688642822,0.0001501800917907,0.1286594350528043,0.223,0.805,8,-8.969,1,0.037,0.000179,0,0.0849,0.25,168.165,audio_features,06WUUNf7q18NZfjIsQFsfa,spotify:track:06WUUNf7q18NZfjIsQFsfa,https://api.spotify.com/v1/tracks/06WUUNf7q18NZfjIsQFsfa,https://api.spotify.com/v1/audio-analysis/06WUUNf7q18NZfjIsQFsfa,115413,4,Delusions of Saviour,Slayer,"['alternative metal', 'death metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
13,13,32,Man,1.3889135295947431e-06,1.8845080578558583e-14,1.274126763197359e-08,99.83842374820426,1.065384808823985e-05,4.220052639420156e-05,0.1615177414619635,0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,audio_features,3a1lNhkSLSkpJE4MSHpDu9,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,https://api.spotify.com/v1/tracks/3a1lNhkSLSkpJE4MSHpDu9,https://api.spotify.com/v1/audio-analysis/3a1lNhkSLSkpJE4MSHpDu9,220293,4,Congratulations,Post Malone,"['dfw rap', 'melodic rap', 'rap']"
