,age,gender,angry,disgust,fear,happy,sad,surprise,neutral,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
58,29,Man,18.91423387357785,0.028779473566661946,1.4349321986815693,0.0002948490976937492,75.86244632453366,0.0015930303481566863,3.7577166399101447,0.449,0.585,5,-6.761,1,0.0268,0.0509,0,0.0833,0.212,139.631,audio_features,6nek1Nin9q48AVZcWs9e9D,spotify:track:6nek1Nin9q48AVZcWs9e9D,https://api.spotify.com/v1/tracks/6nek1Nin9q48AVZcWs9e9D,https://api.spotify.com/v1/audio-analysis/6nek1Nin9q48AVZcWs9e9D,278719,4
59,25,Woman,98.76526594161987,0.00012676980531978188,0.0975353759713471,0.014499800454359502,0.9477151557803154,0.003298021329101175,0.17156004905700684,0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,audio_features,27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000,4
60,30,Woman,5.848333708358217e-06,3.330726290829998e-08,1.9251277350735007e-07,99.99827742545797,1.3391662619797447e-06,4.4442693922782536e-05,0.0016771050738791694,0.736,0.964,1,-2.291,1,0.294,0.00785,0,0.131,0.372,100.019,audio_features,50gPjAfjdq6BjEz937C3hm,spotify:track:50gPjAfjdq6BjEz937C3hm,https://api.spotify.com/v1/tracks/50gPjAfjdq6BjEz937C3hm,https://api.spotify.com/v1/audio-analysis/50gPjAfjdq6BjEz937C3hm,196895,4
61,28,Woman,0.7585187442600727,0.0013111328371451236,2.994001843035221,0.0864134170114994,27.3408442735672,0.1991027733311057,68.61981153488159,0.505,0.397,5,-9.349,1,0.324,0.716,0,0.0853,0.558,95.063,audio_features,3eze1OsZ1rqeXkKStNfTmi,spotify:track:3eze1OsZ1rqeXkKStNfTmi,https://api.spotify.com/v1/tracks/3eze1OsZ1rqeXkKStNfTmi,https://api.spotify.com/v1/audio-analysis/3eze1OsZ1rqeXkKStNfTmi,219683,1
62,25,Man,16.68866674236457,34.95670169333825,0.5926828253378168,0.06020854120454438,36.774589823161946,0.07207575683747272,10.855078599159635,0.481,0.487,5,-14.016,1,0.0393,0.407,0,0.308,0.311,73.093,audio_features,5S2e7gDXQFMnnXoth2zrOo,spotify:track:5S2e7gDXQFMnnXoth2zrOo,https://api.spotify.com/v1/tracks/5S2e7gDXQFMnnXoth2zrOo,https://api.spotify.com/v1/audio-analysis/5S2e7gDXQFMnnXoth2zrOo,321758,4
63,39,Woman,76.72794461250305,0.986046064645052,19.983914494514465,0.04324131004977971,2.125430107116699,0.12281271629035473,0.010613122140057385,0.614,0.66,0,-2.848,1,0.0441,0.19,0,0.211,0.452,145.01,audio_features,2C6WXnmZ66tHhHlnvwePiK,spotify:track:2C6WXnmZ66tHhHlnvwePiK,https://api.spotify.com/v1/tracks/2C6WXnmZ66tHhHlnvwePiK,https://api.spotify.com/v1/audio-analysis/2C6WXnmZ66tHhHlnvwePiK,245267,4
64,34,Woman,9.82631844771108e-09,2.193163534200143e-12,2.4716126641040182e-05,99.99938011176823,7.848440072599953e-07,3.790571670981253e-06,0.0005850289865694146,0.657,0.614,0,-7.829,0,0.055,0.0625,0,0.397,0.723,113.009,audio_features,11xOwUHV7P1q7UpEQuMIrx,spotify:track:11xOwUHV7P1q7UpEQuMIrx,https://api.spotify.com/v1/tracks/11xOwUHV7P1q7UpEQuMIrx,https://api.spotify.com/v1/audio-analysis/11xOwUHV7P1q7UpEQuMIrx,176283,4
65,32,Woman,11.730500218927887,0.010133637741306453,2.802909313489117,0.6976460472668465,9.399560469336565,0.003166042747561328,75.35608713103379,0.399,0.491,6,-10.778,0,0.0538,0.0563,0,0.11,0.151,91.066,audio_features,6AGOKlMZWLCaEJGnaROtF9,spotify:track:6AGOKlMZWLCaEJGnaROtF9,https://api.spotify.com/v1/tracks/6AGOKlMZWLCaEJGnaROtF9,https://api.spotify.com/v1/audio-analysis/6AGOKlMZWLCaEJGnaROtF9,210463,4
66,44,Woman,0.04125046343071449,0.007159053222174931,0.010502463759095072,98.29881807579778,0.09862172871494547,0.00018502615898637604,1.5434568770579247,0.785,0.431,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.085,audio_features,26XaOsDMbl0e1cVKYfkz6w,spotify:track:26XaOsDMbl0e1cVKYfkz6w,https://api.spotify.com/v1/tracks/26XaOsDMbl0e1cVKYfkz6w,https://api.spotify.com/v1/audio-analysis/26XaOsDMbl0e1cVKYfkz6w,159382,4
67,30,Man,44.185573555758765,8.236380195231663e-06,1.9894832236190767,7.372166353402838e-06,42.44194120860801,1.1090070116917859e-05,11.382969601992416,0.541,0.96,0,-2.947,0,0.0505,0.0663,0,0.344,0.812,122.803,audio_features,0rmGAIH9LNJewFw7nKzZnc,spotify:track:0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/tracks/0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/audio-analysis/0rmGAIH9LNJewFw7nKzZnc,222707,4
68,31,Man,55.25839328765869,9.283171564788972e-07,3.2759301364421844,0.23802448995411396,0.14137845719233155,0.02656495780684054,41.05970859527588,0.764,0.705,3,-5.279,0,0.0278,0.0371,0,0.0943,0.672,101.003,audio_features,0y60itmpH0aPKsFiGxmtnh,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520,4
69,30,Man,1.8770431724735293,0.0002786343779724437,37.15079281916704,0.013082167320402882,52.92180741765411,0.020380371032573754,8.016614405320357,0.508,0.471,0,-10.718,0,0.0385,0.783,0,0.25,0.117,81.995,audio_features,4NU4ZK3ncM05KPUc8JSuQ5,spotify:track:4NU4ZK3ncM05KPUc8JSuQ5,https://api.spotify.com/v1/tracks/4NU4ZK3ncM05KPUc8JSuQ5,https://api.spotify.com/v1/audio-analysis/4NU4ZK3ncM05KPUc8JSuQ5,131715,4
70,30,Man,0.01353593187294867,5.827284532036687e-11,0.18756468734158202,2.0961098995786948e-06,11.516218573821698,1.1294801501177164e-05,88.28266789213824,0.44,0.778,1,-1.786,0,0.0327,0.0265,0,0.151,0.304,148.038,audio_features,7oWbeO9v3Cfs900q7JhLAs,spotify:track:7oWbeO9v3Cfs900q7JhLAs,https://api.spotify.com/v1/tracks/7oWbeO9v3Cfs900q7JhLAs,https://api.spotify.com/v1/audio-analysis/7oWbeO9v3Cfs900q7JhLAs,229347,4
71,29,Man,2.309139259159565,1.103935345914131e-08,0.2281608060002327,0.002446616599627305,5.396469309926033,7.520500844293565e-05,92.06371307373047,0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375,audio_features,39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/audio-analysis/39shmbIHICJ2Wxnk1fPSdz,188987,4
72,30,Man,1.532794863257081e-08,7.24097106122728e-18,6.063034307875496e-13,98.93516898155212,2.4733506620577828e-05,2.2108195274483933e-07,1.0648107156157494,0.733,0.897,0,-3.652,1,0.0389,0.0391,0,0.117,0.649,96.006,audio_features,0mlAOSILGRys2IbvyOT5VJ,spotify:track:0mlAOSILGRys2IbvyOT5VJ,https://api.spotify.com/v1/tracks/0mlAOSILGRys2IbvyOT5VJ,https://api.spotify.com/v1/audio-analysis/0mlAOSILGRys2IbvyOT5VJ,173800,4
73,31,Man,0.4277001556515508,9.72955910871381e-07,0.3584918138692601,0.06731610408382367,1.134610320227108,0.011130363546836624,98.00074720373783,0.358,0.0667,2,-25.465,1,0.056,0.951,0,0.0745,0.126,138.005,audio_features,7ps4C1VKLR5zCt49eM2TzA,spotify:track:7ps4C1VKLR5zCt49eM2TzA,https://api.spotify.com/v1/tracks/7ps4C1VKLR5zCt49eM2TzA,https://api.spotify.com/v1/audio-analysis/7ps4C1VKLR5zCt49eM2TzA,242548,4
74,31,Man,0.070092039635303,1.7495286818459754e-08,0.005756353109289519,0.008881058403884748,0.1445872329674502,1.2026084312439217e-05,99.77067111555762,0.671,0.673,11,-6.941,0,0.0444,0.148,0,0.304,0.494,121.963,audio_features,1SOClUWhOi8vHZYMz3GluK,spotify:track:1SOClUWhOi8vHZYMz3GluK,https://api.spotify.com/v1/tracks/1SOClUWhOi8vHZYMz3GluK,https://api.spotify.com/v1/audio-analysis/1SOClUWhOi8vHZYMz3GluK,237720,4
75,30,Man,52.029675245285034,8.377584737040422e-09,0.3768953960388899,1.389864650036543e-05,45.44490575790405,2.4255275565820966e-07,2.148512750864029,0.818,0.705,6,-6.679,1,0.177,0.00836,0,0.613,0.772,138.559,audio_features,0d28khcov6AiegSCpG5TuT,spotify:track:0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/audio-analysis/0d28khcov6AiegSCpG5TuT,222640,4
76,33,Man,0.00045500396481656935,2.271695608317345e-11,7.162736116034241e-10,99.63591694831848,4.3179596787013e-06,2.5266739811513617e-06,0.3636241191998124,0.682,0.673,5,-6.105,0,0.118,0.33,0,0.196,0.489,143.014,audio_features,101xoJ62xSk9hmcYri8gtH,spotify:track:101xoJ62xSk9hmcYri8gtH,https://api.spotify.com/v1/tracks/101xoJ62xSk9hmcYri8gtH,https://api.spotify.com/v1/audio-analysis/101xoJ62xSk9hmcYri8gtH,168671,4
77,29,Man,17.096136039265158,5.677231023952811e-07,0.028626549716199916,2.3502907688713603e-05,4.049974176286112,1.1138426667655885e-05,78.82522814424206,0.675,0.175,6,-13.281,1,0.0596,0.891,0,0.11,0.387,69.027,audio_features,1OL3yrDYTbOXeuRhiYWlKi,spotify:track:1OL3yrDYTbOXeuRhiYWlKi,https://api.spotify.com/v1/tracks/1OL3yrDYTbOXeuRhiYWlKi,https://api.spotify.com/v1/audio-analysis/1OL3yrDYTbOXeuRhiYWlKi,125652,4
78,31,Man,53.223222109887345,0.000362817038371618,0.6066370497927607,0.34019714822505137,10.284235592575598,0.0010156752676934151,35.5443226642224,0.758,0.732,5,-5.511,0,0.051,0.489,0,0.13,0.924,90.038,audio_features,3oqC4Ta40ft6NnTJwcUTdi,spotify:track:3oqC4Ta40ft6NnTJwcUTdi,https://api.spotify.com/v1/tracks/3oqC4Ta40ft6NnTJwcUTdi,https://api.spotify.com/v1/audio-analysis/3oqC4Ta40ft6NnTJwcUTdi,185333,4
79,32,Man,0.43274413579667426,0.010640931484307736,0.01658945792515325,0.024745600259600594,6.479491679638128,0.00016227167919590716,93.03562599632895,0.736,0.964,1,-2.291,1,0.294,0.00785,0,0.131,0.372,100.019,audio_features,50gPjAfjdq6BjEz937C3hm,spotify:track:50gPjAfjdq6BjEz937C3hm,https://api.spotify.com/v1/tracks/50gPjAfjdq6BjEz937C3hm,https://api.spotify.com/v1/audio-analysis/50gPjAfjdq6BjEz937C3hm,196895,4
80,32,Man,0.00051388528845564,5.0522291905608085e-08,0.0009263662832381669,79.42761778831482,0.04446293460205197,0.11618738062679768,20.410291850566864,0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,audio_features,6fNhZRFEkBfgW39W3wKARJ,spotify:track:6fNhZRFEkBfgW39W3wKARJ,https://api.spotify.com/v1/tracks/6fNhZRFEkBfgW39W3wKARJ,https://api.spotify.com/v1/audio-analysis/6fNhZRFEkBfgW39W3wKARJ,214148,4
81,32,Man,0.43274413579667426,0.010640931484307736,0.01658945792515325,0.024745600259600594,6.479491679638128,0.00016227167919590716,93.03562599632895,0.508,0.471,0,-10.718,0,0.0385,0.783,0,0.25,0.117,81.995,audio_features,4NU4ZK3ncM05KPUc8JSuQ5,spotify:track:4NU4ZK3ncM05KPUc8JSuQ5,https://api.spotify.com/v1/tracks/4NU4ZK3ncM05KPUc8JSuQ5,https://api.spotify.com/v1/audio-analysis/4NU4ZK3ncM05KPUc8JSuQ5,131715,4
82,31,Man,0.032346995430998504,2.066263533606616e-05,0.012611506099347025,0.029214745154604316,1.3944515027105808,5.187902729630878e-05,98.53129982948303,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214290,4
